graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,modulos_iniciados,modulos_finalizados,certificados,categoria
SEM FORMAÇÃO,UFRJ,Analista Senior,Eletroeletronicos,1.0,1.0,1.0,5.0,Saint Paul,39.0,38.0,0.0,perfil2
Outros,UFRN,Engenheiro,e-commerce,0.0,0.0,1.0,8.0,Saint Paul,3.0,1.0,0.0,perfil6
Especialização,UFSCar,Coordenador,Entretenimento,1.0,1.0,1.0,5.0,Linkedin,8.0,6.0,0.0,perfil2
Tecnólogo,Outros,Outros,Montadora,1.0,1.0,1.0,5.0,YouTube,8.0,8.0,0.0,perfil5
MBA,UNICAMP,Outros,Siderurgica,1.0,1.0,1.0,6.0,Google,5.0,5.0,0.0,perfil5
Outros,UFPE,SEM EXPERIÊNCIA,Siderurgica,0.0,0.0,1.0,2.0,Instagram,18.0,14.0,0.0,perfil4
Tecnólogo,UEPB,Supervisor,Eletrodomesticos,1.0,1.0,1.0,10.0,YouTube,12.0,12.0,0.0,perfil4
Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,Diretor,Eletroeletronicos,1.0,1.0,1.0,5.0,Outros,2.0,1.0,0.0,perfil6
MBA,FATEC,Advogado,Entretenimento,1.0,1.0,1.0,5.0,Outros,8.0,3.0,0.0,perfil6
Bacharelado,UFPE,Analista Senior,servicos,0.0,0.0,1.0,8.0,Outros,39.0,36.0,1.0,perfil1
Licenciatura,UNIVERSIDADE NOVE DE JULHO,Outros,Borracha,0.0,0.0,1.0,2.0,Outros,16.0,4.0,0.0,perfil6
Especialização,UFPE,Diretor,Montadora,1.0,1.0,1.0,6.0,Linkedin,28.0,28.0,0.0,perfil2
SEM FORMAÇÃO,Universidade Metodista de Sao Paulo,Coordenador,Borracha,1.0,1.0,1.0,4.0,Outros,18.0,16.0,0.0,perfil3
Licenciatura,UFPE,SEM EXPERIÊNCIA,e-commerce,0.0,0.0,1.0,9.0,Google,74.0,69.0,0.0,perfil2
Bacharelado,UNIP,Gerente,Siderurgica,1.0,1.0,1.0,6.0,Linkedin,29.0,15.0,0.0,perfil3
Outros,FGV-RJ,Gerente,servicos,1.0,1.0,1.0,6.0,Linkedin,10.0,10.0,0.0,perfil4
Bacharelado,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Diretor,Laminados,0.0,0.0,1.0,6.0,Google,43.0,38.0,1.0,perfil1
Tecnólogo,FGV-RJ,Outros,Entretenimento,0.0,0.0,1.0,5.0,Facebook,85.0,82.0,1.0,perfil1
Tecnólogo,UNIVERSIDADE NOVE DE JULHO,Coordenador,Siderurgica,1.0,1.0,1.0,9.0,Google,9.0,4.0,0.0,perfil4
Bacharelado,UFRJ,Outros,Entretenimento,1.0,1.0,1.0,2.0,Mídia (revista/jornal/web),27.0,25.0,0.0,perfil2
Especialização,Escola Paulista de Direito,Outros,Estado,0.0,0.0,1.0,7.0,Instagram,14.0,13.0,0.0,perfil4
Bacharelado,UFSCar,SEM EXPERIÊNCIA,Oleo e Gas,0.0,0.0,1.0,6.0,Outros,14.0,9.0,1.0,perfil1
Outros,Unesp,Advogado,Laminados,0.0,0.0,1.0,7.0,Minha empresa - benefício LITpass,8.0,7.0,0.0,perfil5
Especialização,UEPB,Engenheiro,Estado,0.0,0.0,1.0,5.0,Outros,13.0,5.0,0.0,perfil6
SEM FORMAÇÃO,UNIP,Advogado,Estado,1.0,1.0,1.0,10.0,Linkedin,33.0,24.0,0.0,perfil2
MBA,Outros,Supervisor,Montadora,1.0,1.0,1.0,9.0,Instagram,3.0,1.0,0.0,perfil6
SEM FORMAÇÃO,UNIP,Engenheiro,e-commerce,0.0,0.0,1.0,2.0,Minha empresa - benefício LITpass,144.0,142.0,1.0,perfil1
Especialização,FGV-RJ,Coordenador,Borracha,0.0,0.0,1.0,9.0,Instagram,6.0,2.0,0.0,perfil6
SEM FORMAÇÃO,USP,Outros,Eletrodomesticos,0.0,0.0,1.0,4.0,Google,58.0,57.0,0.0,perfil2
Tecnólogo,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Diretor,Outros,0.0,0.0,1.0,8.0,Saint Paul,18.0,17.0,0.0,perfil3
Tecnólogo,UFRJ,Outros,Oleo e Gas,0.0,0.0,1.0,2.0,Google,95.0,86.0,1.0,perfil1
SEM FORMAÇÃO,Outros,Outros,e-commerce,0.0,0.0,1.0,2.0,Google,4.0,3.0,0.0,perfil1
Bacharelado,UFF,Outros,Outros,1.0,1.0,1.0,2.0,Minha empresa - benefício LITpass,9.0,8.0,0.0,perfil5
Tecnólogo,UFPE,SEM EXPERIÊNCIA,Oleo e Gas,0.0,0.0,1.0,2.0,Minha empresa - benefício LITpass,37.0,35.0,0.0,perfil2
Bacharelado,INSPER INSTITUTO DE ENSINO E PESQUISA,Advogado,Laminados,0.0,0.0,1.0,10.0,Outros,4.0,2.0,0.0,perfil1
MBA,UEPB,Analista,Siderurgica,0.0,0.0,1.0,7.0,Linkedin,99.0,99.0,0.0,perfil2
Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,Advogado,Outros,1.0,1.0,1.0,4.0,Outros,46.0,43.0,0.0,perfil2
Outros,Outros,Analista Senior,Outros,1.0,1.0,1.0,9.0,Mídia (revista/jornal/web),4.0,3.0,0.0,perfil6
Outros,USP,SEM EXPERIÊNCIA,Laminados,1.0,1.0,1.0,3.0,Instagram,44.0,37.0,0.0,perfil2
Tecnólogo,UFRN,Gerente,Outros,0.0,0.0,1.0,9.0,Outros,10.0,10.0,0.0,perfil4
Tecnólogo,Outros,Gerente,Oleo e Gas,0.0,0.0,1.0,3.0,Linkedin,26.0,18.0,0.0,perfil5
Tecnólogo,Outros,Outros,Siderurgica,1.0,1.0,1.0,3.0,Outros,5.0,1.0,0.0,perfil6
Especialização,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Sócio/Dono/Proprietário,Siderurgica,0.0,0.0,1.0,4.0,Outros,24.0,24.0,0.0,perfil2
Bacharelado,UFPE,Advogado,servicos,1.0,1.0,1.0,4.0,Outros,23.0,18.0,0.0,perfil3
MBA,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Outros,Siderurgica,0.0,0.0,1.0,2.0,Outros,8.0,7.0,0.0,perfil5
Bacharelado,FATEC,Gerente,Estado,0.0,0.0,1.0,2.0,Outros,44.0,42.0,1.0,perfil1
Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Analista,e-commerce,0.0,0.0,1.0,3.0,Minha empresa - benefício LITpass,8.0,7.0,0.0,perfil5
Licenciatura,UNIP,Outros,servicos,0.0,0.0,1.0,4.0,YouTube,31.0,31.0,0.0,perfil2
Especialização,Escola Paulista de Direito,Analista Senior,Oleo e Gas,0.0,0.0,1.0,8.0,Outros,68.0,65.0,1.0,perfil1
Bacharelado,FATEC,Analista,Montadora,0.0,0.0,1.0,4.0,Outros,10.0,10.0,0.0,perfil5
MBA,UFF,Supervisor,Estado,0.0,0.0,1.0,2.0,Outros,21.0,16.0,0.0,perfil3
MBA,Universidade Metodista de Sao Paulo,Analista Senior,Eletroeletronicos,1.0,1.0,1.0,9.0,Instagram,5.0,3.0,0.0,perfil6
Outros,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Engenheiro,Montadora,0.0,0.0,1.0,10.0,Outros,17.0,9.0,0.0,perfil4
Tecnólogo,UEPB,Outros,Oleo e Gas,1.0,1.0,1.0,2.0,YouTube,11.0,6.0,0.0,perfil5
Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Outros,Eletrodomesticos,0.0,0.0,1.0,10.0,Outros,32.0,31.0,1.0,perfil1
SEM FORMAÇÃO,UFSCar,SEM EXPERIÊNCIA,Estado,0.0,0.0,1.0,3.0,Instagram,6.0,2.0,0.0,perfil6
Especialização,UFRN,Gerente,Laminados,0.0,0.0,1.0,3.0,YouTube,17.0,6.0,0.0,perfil5
Bacharelado,UEPB,Supervisor,servicos,1.0,1.0,1.0,8.0,Outros,28.0,26.0,0.0,perfil2
Tecnólogo,UFSCar,Gerente,Estado,1.0,1.0,1.0,5.0,YouTube,33.0,29.0,0.0,perfil4
SEM FORMAÇÃO,FATEC,SEM EXPERIÊNCIA,Eletroeletronicos,0.0,0.0,1.0,8.0,Outros,111.0,100.0,3.0,perfil1
MBA,Outros,Sócio/Dono/Proprietário,Outros,1.0,1.0,1.0,9.0,Google,36.0,33.0,0.0,perfil2
SEM FORMAÇÃO,UNIP,Supervisor,Eletrodomesticos,0.0,0.0,1.0,5.0,Google,22.0,8.0,0.0,perfil5
Tecnólogo,UNIVERSIDADE PRESBITERIANA MACKENZIE,Advogado,Estado,0.0,0.0,1.0,9.0,Outros,2.0,1.0,0.0,perfil6
MBA,Universidade Metodista de Sao Paulo,Supervisor,Outros,0.0,0.0,1.0,10.0,Saint Paul,36.0,34.0,1.0,perfil1
Tecnólogo,INSPER INSTITUTO DE ENSINO E PESQUISA,Analista Senior,Siderurgica,1.0,1.0,1.0,8.0,Mídia (revista/jornal/web),23.0,19.0,0.0,perfil3
Especialização,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Gerente,servicos,1.0,1.0,1.0,10.0,Minha empresa - benefício LITpass,2.0,1.0,0.0,perfil6
Tecnólogo,INSPER INSTITUTO DE ENSINO E PESQUISA,Outros,servicos,0.0,0.0,1.0,7.0,Google,64.0,42.0,0.0,perfil2
SEM FORMAÇÃO,Outros,Advogado,Montadora,1.0,1.0,1.0,10.0,Outros,9.0,9.0,0.0,perfil4
Outros,Outros,Advogado,servicos,0.0,0.0,1.0,6.0,Saint Paul,5.0,4.0,0.0,perfil6
Tecnólogo,FATEC,Analista Senior,servicos,0.0,0.0,1.0,4.0,Mídia (revista/jornal/web),7.0,2.0,0.0,perfil6
Especialização,UNIVERSIDADE PRESBITERIANA MACKENZIE,Sócio/Dono/Proprietário,Outros,0.0,0.0,1.0,7.0,Google,45.0,41.0,4.0,perfil1
Especialização,UNIVERSIDADE CRUZEIRO DO SUL,Outros,Laminados,0.0,0.0,1.0,3.0,Google,8.0,5.0,0.0,perfil5
Licenciatura,Outros,Outros,servicos,0.0,0.0,1.0,6.0,Linkedin,21.0,20.0,0.0,perfil1
SEM FORMAÇÃO,UNIVERSIDADE CRUZEIRO DO SUL,Outros,Montadora,0.0,0.0,1.0,4.0,Outros,101.0,98.0,1.0,perfil1
MBA,Outros,Assessor,Montadora,0.0,0.0,1.0,9.0,Linkedin,27.0,27.0,0.0,perfil2
Especialização,UFSCar,Supervisor,Outros,1.0,1.0,1.0,4.0,Saint Paul,18.0,15.0,0.0,perfil3
MBA,Universidade Metodista de Sao Paulo,Supervisor,Oleo e Gas,1.0,1.0,1.0,10.0,Outros,11.0,6.0,0.0,perfil5
Outros,FGV-RJ,Assessor,Borracha,1.0,1.0,1.0,5.0,Mídia (revista/jornal/web),3.0,1.0,0.0,perfil6
Tecnólogo,UNIP,Outros,Oleo e Gas,1.0,1.0,1.0,6.0,Linkedin,27.0,27.0,0.0,perfil2
Licenciatura,UEPB,Outros,Borracha,0.0,0.0,1.0,4.0,Outros,14.0,9.0,0.0,perfil2
Outros,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Sócio/Dono/Proprietário,Laminados,0.0,0.0,1.0,6.0,Outros,114.0,110.0,3.0,perfil1
Especialização,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Diretor,servicos,0.0,0.0,1.0,5.0,YouTube,17.0,14.0,0.0,perfil4
Especialização,UNIVERSIDADE PRESBITERIANA MACKENZIE,Outros,Borracha,1.0,1.0,1.0,9.0,Mídia (revista/jornal/web),39.0,33.0,0.0,perfil2
Licenciatura,UNIVERSIDADE NOVE DE JULHO,Analista,Eletroeletronicos,1.0,1.0,1.0,9.0,Saint Paul,4.0,2.0,0.0,perfil6
Licenciatura,Outros,Supervisor,Entretenimento,0.0,0.0,1.0,2.0,Google,20.0,17.0,0.0,perfil3
Bacharelado,UFRN,Gerente,Laminados,0.0,0.0,1.0,4.0,YouTube,4.0,1.0,0.0,perfil1
Tecnólogo,UEPB,Engenheiro,Outros,0.0,0.0,1.0,6.0,Outros,185.0,185.0,0.0,perfil1
Licenciatura,Outros,Gerente,Siderurgica,1.0,1.0,1.0,6.0,Instagram,78.0,65.0,0.0,perfil6
MBA,UFPE,Analista,Outros,0.0,0.0,1.0,4.0,Facebook,7.0,2.0,0.0,perfil6
Tecnólogo,UFF,Analista,servicos,0.0,0.0,1.0,10.0,Google,3.0,1.0,0.0,perfil2
SEM FORMAÇÃO,FGV-RJ,Coordenador,servicos,0.0,0.0,1.0,6.0,Outros,25.0,25.0,1.0,perfil1
Tecnólogo,UFF,Advogado,servicos,1.0,1.0,1.0,9.0,Minha empresa - benefício LITpass,38.0,34.0,0.0,perfil2
Licenciatura,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Sócio/Dono/Proprietário,Montadora,0.0,0.0,1.0,2.0,Google,8.0,3.0,0.0,perfil6
MBA,UNIVERSIDADE NOVE DE JULHO,Assessor,servicos,0.0,0.0,1.0,6.0,Linkedin,76.0,63.0,0.0,perfil6
Tecnólogo,Outros,Coordenador,Entretenimento,0.0,0.0,1.0,7.0,Outros,25.0,6.0,0.0,perfil5
Outros,Universidade Metodista de Sao Paulo,Outros,Outros,0.0,0.0,1.0,10.0,Saint Paul,87.0,83.0,0.0,perfil2
MBA,UNIP,Supervisor,servicos,0.0,0.0,1.0,10.0,Linkedin,3.0,2.0,0.0,perfil6
Bacharelado,UNIVERSIDADE PRESBITERIANA MACKENZIE,Coordenador,Laminados,0.0,0.0,1.0,2.0,Google,3.0,2.0,0.0,perfil4
Bacharelado,Unesp,Sócio/Dono/Proprietário,Eletrodomesticos,1.0,1.0,1.0,10.0,Minha empresa - benefício LITpass,66.0,65.0,0.0,perfil2
Especialização,UFSCar,Outros,Montadora,0.0,0.0,1.0,5.0,Minha empresa - benefício LITpass,137.0,125.0,0.0,perfil2
SEM FORMAÇÃO,FACULDADE ANHANGUERA,Coordenador,Outros,0.0,0.0,1.0,9.0,Facebook,11.0,7.0,0.0,perfil5
Outros,Outros,Gerente,Montadora,1.0,1.0,1.0,8.0,Facebook,3.0,1.0,0.0,perfil6
Bacharelado,USP,Outros,Montadora,1.0,1.0,1.0,6.0,YouTube,10.0,7.0,0.0,perfil5
Especialização,UNIVERSIDADE CRUZEIRO DO SUL,SEM EXPERIÊNCIA,servicos,1.0,1.0,1.0,8.0,Instagram,8.0,3.0,0.0,perfil6
Outros,UFF,Supervisor,Eletrodomesticos,0.0,0.0,1.0,3.0,Linkedin,12.0,8.0,0.0,perfil5
Tecnólogo,UFRJ,Analista,Laminados,0.0,0.0,1.0,10.0,Minha empresa - benefício LITpass,43.0,39.0,0.0,perfil1
Bacharelado,INSPER INSTITUTO DE ENSINO E PESQUISA,Outros,servicos,1.0,1.0,1.0,8.0,Outros,39.0,39.0,0.0,perfil2
Outros,UEPB,Diretor,Laminados,1.0,1.0,1.0,8.0,Linkedin,122.0,111.0,3.0,perfil1
Licenciatura,UFPE,Diretor,Eletroeletronicos,0.0,0.0,1.0,4.0,Outros,41.0,32.0,0.0,perfil2
Especialização,UFSCar,Gerente,Eletroeletronicos,0.0,0.0,1.0,8.0,Outros,99.0,99.0,3.0,perfil2
Especialização,UEPB,Analista Senior,Eletroeletronicos,0.0,0.0,1.0,5.0,Facebook,48.0,38.0,0.0,perfil2
Outros,UFSCar,Supervisor,Outros,0.0,0.0,1.0,7.0,Saint Paul,5.0,2.0,0.0,perfil6
Especialização,USP,Diretor,Outros,0.0,0.0,1.0,2.0,Outros,3.0,1.0,0.0,perfil6
Outros,UEPB,Coordenador,servicos,0.0,0.0,1.0,6.0,Outros,25.0,21.0,0.0,perfil2
MBA,Outros,Engenheiro,servicos,1.0,1.0,1.0,3.0,Instagram,138.0,97.0,2.0,perfil1
SEM FORMAÇÃO,UNIP,Sócio/Dono/Proprietário,e-commerce,1.0,1.0,1.0,10.0,Mídia (revista/jornal/web),33.0,33.0,1.0,perfil1
Tecnólogo,UEPB,Analista Senior,Entretenimento,0.0,0.0,1.0,9.0,Mídia (revista/jornal/web),2.0,1.0,0.0,perfil6
Licenciatura,UNIP,Assessor,e-commerce,0.0,0.0,1.0,8.0,Linkedin,96.0,93.0,0.0,perfil2
SEM FORMAÇÃO,UFPE,Analista,Eletrodomesticos,0.0,0.0,1.0,2.0,Outros,6.0,3.0,0.0,perfil6
Licenciatura,FACULDADE ANHANGUERA,Engenheiro,Laminados,1.0,1.0,1.0,3.0,Linkedin,8.0,6.0,0.0,perfil1
Outros,UNICAMP,Coordenador,Oleo e Gas,1.0,1.0,1.0,8.0,Outros,37.0,30.0,0.0,perfil6
SEM FORMAÇÃO,Universidade Metodista de Sao Paulo,Outros,e-commerce,1.0,1.0,1.0,8.0,Linkedin,23.0,22.0,0.0,perfil2
Bacharelado,UFPE,Outros,servicos,1.0,1.0,1.0,9.0,Facebook,27.0,27.0,1.0,perfil1
Bacharelado,USP,Advogado,Siderurgica,1.0,1.0,1.0,5.0,Linkedin,231.0,231.0,8.0,perfil1
Licenciatura,UFPE,Analista Senior,Laminados,1.0,1.0,1.0,3.0,Outros,45.0,42.0,0.0,perfil2
SEM FORMAÇÃO,UFRJ,Outros,Eletroeletronicos,1.0,1.0,1.0,8.0,Facebook,16.0,15.0,0.0,perfil5
Tecnólogo,UFRN,Gerente,Outros,0.0,0.0,1.0,4.0,YouTube,5.0,2.0,0.0,perfil6
MBA,UNICAMP,Sócio/Dono/Proprietário,Entretenimento,0.0,0.0,1.0,8.0,Facebook,13.0,4.0,0.0,perfil6
Bacharelado,FATEC,Gerente,Outros,1.0,1.0,1.0,2.0,Outros,3.0,2.0,0.0,perfil6
SEM FORMAÇÃO,FGV-RJ,Analista Senior,servicos,1.0,1.0,1.0,2.0,Linkedin,28.0,25.0,0.0,perfil2
SEM FORMAÇÃO,Universidade Metodista de Sao Paulo,Outros,Eletroeletronicos,1.0,1.0,1.0,4.0,Outros,19.0,13.0,0.0,perfil4
MBA,Outros,Assessor,Estado,1.0,1.0,1.0,2.0,Mídia (revista/jornal/web),25.0,22.0,0.0,perfil2
Tecnólogo,INSPER INSTITUTO DE ENSINO E PESQUISA,SEM EXPERIÊNCIA,Eletroeletronicos,1.0,1.0,1.0,4.0,Mídia (revista/jornal/web),16.0,15.0,0.0,perfil3
Tecnólogo,UFRN,SEM EXPERIÊNCIA,Outros,1.0,1.0,1.0,2.0,YouTube,42.0,40.0,1.0,perfil1
SEM FORMAÇÃO,Unesp,Coordenador,Estado,1.0,1.0,1.0,9.0,Outros,12.0,8.0,0.0,perfil5
Outros,INSPER INSTITUTO DE ENSINO E PESQUISA,Outros,Oleo e Gas,0.0,0.0,1.0,2.0,Facebook,6.0,2.0,0.0,perfil6
Licenciatura,UNICAMP,Coordenador,Laminados,1.0,1.0,1.0,6.0,Instagram,5.0,3.0,0.0,perfil6
Outros,UNICAMP,Coordenador,e-commerce,0.0,0.0,1.0,3.0,Linkedin,3.0,2.0,0.0,perfil6
Especialização,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Outros,Siderurgica,1.0,1.0,1.0,10.0,Facebook,22.0,21.0,1.0,perfil4
Licenciatura,UNIVERSIDADE PRESBITERIANA MACKENZIE,Outros,Laminados,1.0,1.0,1.0,4.0,Instagram,37.0,36.0,0.0,perfil6
SEM FORMAÇÃO,UFSCar,Analista,Oleo e Gas,1.0,1.0,1.0,2.0,YouTube,109.0,89.0,0.0,perfil5
SEM FORMAÇÃO,USP,Outros,e-commerce,1.0,1.0,1.0,5.0,Minha empresa - benefício LITpass,159.0,158.0,9.0,perfil1
SEM FORMAÇÃO,Escola Paulista de Direito,SEM EXPERIÊNCIA,Borracha,0.0,0.0,1.0,5.0,Instagram,3.0,1.0,0.0,perfil6
Bacharelado,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Engenheiro,Oleo e Gas,0.0,0.0,1.0,6.0,Instagram,22.0,14.0,0.0,perfil4
Licenciatura,UFRJ,Outros,Estado,0.0,0.0,1.0,3.0,Linkedin,42.0,30.0,0.0,perfil2
Bacharelado,UFSCar,Gerente,Entretenimento,0.0,0.0,1.0,9.0,Outros,40.0,37.0,0.0,perfil2
Licenciatura,Outros,Sócio/Dono/Proprietário,Eletrodomesticos,1.0,1.0,1.0,7.0,Linkedin,18.0,11.0,0.0,perfil4
Outros,UNICAMP,Outros,Eletroeletronicos,0.0,0.0,1.0,4.0,Outros,17.0,15.0,0.0,perfil3
Licenciatura,UNIVERSIDADE PRESBITERIANA MACKENZIE,SEM EXPERIÊNCIA,Eletrodomesticos,1.0,1.0,1.0,7.0,Outros,7.0,5.0,0.0,perfil5
Tecnólogo,USP,Analista,Estado,0.0,0.0,1.0,4.0,Instagram,3.0,1.0,0.0,perfil6
Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Outros,e-commerce,0.0,0.0,1.0,8.0,Facebook,38.0,34.0,0.0,perfil1
Especialização,USP,Sócio/Dono/Proprietário,Montadora,1.0,1.0,1.0,2.0,Outros,14.0,9.0,0.0,perfil4
Tecnólogo,UNIP,SEM EXPERIÊNCIA,Borracha,0.0,0.0,1.0,7.0,Outros,91.0,87.0,1.0,perfil3
MBA,UFPE,Outros,Montadora,1.0,1.0,1.0,2.0,YouTube,4.0,1.0,0.0,perfil6
Tecnólogo,UNICAMP,Advogado,e-commerce,1.0,1.0,1.0,8.0,Outros,26.0,25.0,0.0,perfil2
SEM FORMAÇÃO,Outros,Sócio/Dono/Proprietário,Estado,1.0,1.0,1.0,3.0,Outros,7.0,5.0,0.0,perfil5
Bacharelado,Unesp,Supervisor,Entretenimento,1.0,1.0,1.0,3.0,Outros,77.0,74.0,4.0,perfil1
MBA,Outros,SEM EXPERIÊNCIA,Montadora,0.0,0.0,1.0,2.0,Outros,9.0,7.0,0.0,perfil5
Especialização,UFSCar,Assessor,Eletrodomesticos,0.0,0.0,1.0,7.0,YouTube,8.0,5.0,0.0,perfil5
Bacharelado,INSPER INSTITUTO DE ENSINO E PESQUISA,Outros,Eletrodomesticos,1.0,1.0,1.0,8.0,Outros,51.0,19.0,0.0,perfil3
Tecnólogo,UEPB,Analista Senior,Eletrodomesticos,1.0,1.0,1.0,6.0,Instagram,29.0,24.0,1.0,perfil1
SEM FORMAÇÃO,UNICAMP,Gerente,servicos,1.0,1.0,1.0,3.0,Facebook,7.0,5.0,0.0,perfil5
Licenciatura,UNIVERSIDADE PRESBITERIANA MACKENZIE,Assessor,Eletrodomesticos,0.0,0.0,1.0,6.0,YouTube,14.0,11.0,0.0,perfil4
Bacharelado,UFRN,Outros,Estado,0.0,0.0,1.0,10.0,Outros,4.0,1.0,0.0,perfil6
Especialização,Outros,Outros,e-commerce,1.0,1.0,1.0,8.0,Outros,8.0,2.0,0.0,perfil6
Licenciatura,UFF,SEM EXPERIÊNCIA,Oleo e Gas,0.0,0.0,1.0,8.0,Linkedin,4.0,3.0,0.0,perfil2
Outros,FATEC,Analista Senior,Montadora,1.0,1.0,1.0,10.0,Minha empresa - benefício LITpass,19.0,17.0,0.0,perfil3
SEM FORMAÇÃO,UFSCar,Gerente,e-commerce,0.0,0.0,1.0,8.0,Mídia (revista/jornal/web),4.0,3.0,0.0,perfil1
Especialização,UFF,Coordenador,Eletrodomesticos,1.0,1.0,1.0,10.0,Google,42.0,33.0,0.0,perfil2
Tecnólogo,UNIP,SEM EXPERIÊNCIA,Montadora,0.0,0.0,1.0,9.0,Outros,3.0,2.0,0.0,perfil5
Bacharelado,UNIVERSIDADE PRESBITERIANA MACKENZIE,Outros,Montadora,1.0,1.0,1.0,6.0,Instagram,16.0,11.0,0.0,perfil4
Especialização,FACULDADE ANHANGUERA,Outros,Outros,0.0,0.0,1.0,10.0,Outros,3.0,1.0,0.0,perfil6
SEM FORMAÇÃO,FATEC,Sócio/Dono/Proprietário,Siderurgica,1.0,1.0,1.0,6.0,Linkedin,5.0,2.0,0.0,perfil6
MBA,UFSCar,Advogado,Entretenimento,0.0,0.0,1.0,10.0,Mídia (revista/jornal/web),9.0,6.0,0.0,perfil5
Bacharelado,USP,Analista Senior,Montadora,0.0,0.0,1.0,3.0,Outros,10.0,5.0,0.0,perfil5
Licenciatura,Escola Paulista de Direito,Engenheiro,Borracha,1.0,1.0,1.0,9.0,Outros,59.0,56.0,0.0,perfil2
Outros,UFRN,SEM EXPERIÊNCIA,Siderurgica,1.0,1.0,1.0,7.0,Linkedin,26.0,23.0,0.0,perfil2
SEM FORMAÇÃO,FGV-RJ,Supervisor,Estado,1.0,1.0,1.0,2.0,Google,132.0,123.0,0.0,perfil2
Especialização,USP,Sócio/Dono/Proprietário,Borracha,0.0,0.0,1.0,8.0,Instagram,3.0,2.0,0.0,perfil6
MBA,Unesp,Diretor,Laminados,1.0,1.0,1.0,7.0,Linkedin,7.0,4.0,0.0,perfil5
Tecnólogo,UEPB,Supervisor,Eletrodomesticos,1.0,1.0,1.0,6.0,Mídia (revista/jornal/web),10.0,4.0,0.0,perfil6
Outros,UNIP,Analista Senior,Estado,0.0,0.0,1.0,3.0,Saint Paul,29.0,25.0,0.0,perfil2
Bacharelado,UNICAMP,SEM EXPERIÊNCIA,Montadora,1.0,1.0,1.0,3.0,Google,37.0,37.0,0.0,perfil2
Licenciatura,Unesp,Diretor,Entretenimento,1.0,1.0,1.0,4.0,Minha empresa - benefício LITpass,29.0,27.0,0.0,perfil2
Outros,UNIVERSIDADE CRUZEIRO DO SUL,Outros,Estado,0.0,0.0,1.0,4.0,Outros,118.0,112.0,2.0,perfil1
SEM FORMAÇÃO,UFPE,Assessor,Oleo e Gas,0.0,0.0,1.0,6.0,Mídia (revista/jornal/web),3.0,1.0,0.0,perfil6
Licenciatura,UNIP,Analista,e-commerce,0.0,0.0,1.0,4.0,Google,34.0,33.0,0.0,perfil2
Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Outros,Laminados,0.0,0.0,1.0,3.0,Outros,36.0,25.0,0.0,perfil2
Bacharelado,Outros,Supervisor,servicos,1.0,1.0,1.0,2.0,Outros,4.0,3.0,0.0,perfil6
Outros,UFF,Analista Senior,Estado,0.0,0.0,1.0,2.0,YouTube,21.0,21.0,1.0,perfil1
Especialização,FATEC,Diretor,servicos,1.0,1.0,1.0,2.0,Outros,62.0,57.0,0.0,perfil6
MBA,UFF,Assessor,Outros,0.0,0.0,1.0,4.0,Saint Paul,39.0,17.0,0.0,perfil3
Especialização,Outros,Diretor,Eletrodomesticos,1.0,1.0,1.0,10.0,Minha empresa - benefício LITpass,117.0,111.0,3.0,perfil1
Licenciatura,UNICAMP,Supervisor,Outros,0.0,0.0,1.0,10.0,Instagram,22.0,18.0,1.0,perfil1
Licenciatura,FACULDADE ANHANGUERA,Engenheiro,Eletrodomesticos,0.0,0.0,1.0,8.0,Outros,17.0,16.0,0.0,perfil3
Especialização,UEPB,SEM EXPERIÊNCIA,Oleo e Gas,1.0,1.0,1.0,10.0,YouTube,5.0,4.0,0.0,perfil6
Licenciatura,UFPE,SEM EXPERIÊNCIA,Siderurgica,1.0,1.0,1.0,7.0,Outros,30.0,27.0,1.0,perfil1
Tecnólogo,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Analista Senior,Outros,1.0,1.0,1.0,4.0,Mídia (revista/jornal/web),9.0,8.0,0.0,perfil5
MBA,Outros,Sócio/Dono/Proprietário,e-commerce,1.0,1.0,1.0,4.0,Outros,9.0,8.0,0.0,perfil5
SEM FORMAÇÃO,Outros,Engenheiro,Montadora,1.0,1.0,1.0,3.0,Outros,107.0,82.0,0.0,perfil2
